Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AL2fuzJnLy4YcJMK5x,01/07/2022,08:36:01,Faster payment,The Playbox,,Bills,-777.00,GBP,-777.00,GBP,Roman B.,,,Roman B.,,-777.00,
tx_0000AL2g1oJOfoV1ojdOy2,01/07/2022,08:37:15,Pot transfer,House Fund Pot,,Transfers,-1400.00,GBP,-1400.00,GBP,,,,,,-1400.00,
tx_0000AL2yfvf4Z7VVllMEfy,01/07/2022,12:06:11,Card payment,Transport for London,🚆,Transport,-5.00,GBP,-5.00,GBP,"Travel charge for Thursday, 30 Jun",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-5.00,
tx_0000AL3B6b18cuWENOGJ4U,01/07/2022,14:25:28,Card payment,Sainsbury’s,🍏,Groceries,-2.74,GBP,-2.74,GBP,,133-139 Queen Street,,SAINSBURYS             CARDIFF       GBR,,-2.74,
tx_0000AL3PSgRSXOUVrq0BEH,01/07/2022,17:06:20,Card payment,H&M,🛍,Shopping,-62.95,GBP,-62.95,GBP,,11 Bridge Street,,H & M                  CARDIFF       GBR,,-62.95,
tx_0000AL3a0EE0x8JbONqRX7,01/07/2022,19:04:27,Card payment,NOW TV,📺🍿,Bills,-20.00,GBP,-20.00,GBP,,,,NOW TV                 LIVINGSTON    GBR,,-20.00,
tx_0000AL4AFXyNPTKLgLdWtN,02/07/2022,01:50:36,Pot transfer,House Fund Pot,,Transfers,1100.00,GBP,1100.00,GBP,,,,,,,1100.00
tx_0000AL4AFbLAtAeLmFp81B,02/07/2022,01:50:36,Faster payment,Kelvin Francis & Co,,Bills,-1100.00,GBP,-1100.00,GBP,Month rent,,,Month rent,,-1100.00,
tx_0000AL4xHlgMIyvOrWk0yA,02/07/2022,11:00:02,Card payment,Tesco,🍏 ,Groceries,-59.62,GBP,-59.62,GBP,,37/39 Lakeside Shopping Centre,,TESCO STORES 4641      CARDIFF       GBR,,-59.62,
tx_0000AL4xfDDa5rRPDhT4Kn,02/07/2022,11:04:17,Card payment,Tesco,🍏 ,Groceries,-0.20,GBP,-0.20,GBP,,37/39 Lakeside Shopping Centre,,TESCO STORES 4641      CARDIFF       GBR,,-0.20,
tx_0000AL5VoJiYh79PS57Gl7,02/07/2022,17:26:54,Card payment,Uber,🚖,Transport,-11.44,GBP,-11.44,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,-11.44,
tx_0000AL5doFUXCrCWJevA6D,02/07/2022,18:56:31,Card payment,La Cantina,☕️,Eating out,-18.00,GBP,-18.00,GBP,,King Street,,LA CANTINA             STROUD        GBR,,-18.00,
tx_0000AL6YSjHBTwnCZXeyH3,03/07/2022,05:31:19,Card payment,Netflix,📺,Bills,-10.99,GBP,-10.99,GBP,,,,NETFLIX.COM            18665797172   GBR,,-10.99,
tx_0000AL6hKnAe19Dbl0Y0kD,03/07/2022,07:10:44,Card payment,Uber,🚖,Transport,-9.88,GBP,-9.88,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,-9.88,
tx_0000AL6jc3m1k0FUgLvuef,03/07/2022,07:36:16,Card payment,Trainline,🚄,Transport,-11.60,GBP,-11.60,GBP,,,,thetrainline.com       +443332022222 GBR,,-11.60,
tx_0000AL6k12bHEzgWzf8NWr,03/07/2022,07:40:47,Monzo-to-Monzo,Anastasiia Beloborodova,,Family,-1000.00,GBP,-1000.00,GBP,,,,,,-1000.00,
tx_0000AL6k7AgO6TcJ612WUz,03/07/2022,07:41:53,Pot transfer,Savings Pot,,Transfers,-400.00,GBP,-400.00,GBP,,,,,,-400.00,
